Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Apr 1 2022,7:00p,Toronto Raptors,102,Orlando Magic,89,Box Score,,17566,
Fri Apr 1 2022,7:00p,Dallas Mavericks,103,Washington Wizards,135,Box Score,,17745,
Fri Apr 1 2022,7:30p,Indiana Pacers,123,Boston Celtics,128,Box Score,,19156,
Fri Apr 1 2022,8:00p,Sacramento Kings,122,Houston Rockets,117,Box Score,,14857,
Fri Apr 1 2022,8:00p,Phoenix Suns,114,Memphis Grizzlies,122,Box Score,,17794,
Fri Apr 1 2022,8:00p,Los Angeles Clippers,153,Milwaukee Bucks,119,Box Score,,18023,
Fri Apr 1 2022,8:00p,Detroit Pistons,110,Oklahoma City Thunder,101,Box Score,,16961,
Fri Apr 1 2022,8:30p,Portland Trail Blazers,111,San Antonio Spurs,130,Box Score,,17512,
Fri Apr 1 2022,9:00p,Minnesota Timberwolves,136,Denver Nuggets,130,Box Score,,19612,
Fri Apr 1 2022,10:30p,New Orleans Pelicans,114,Los Angeles Lakers,111,Box Score,,18997,
Sat Apr 2 2022,12:30p,Charlotte Hornets,114,Philadelphia 76ers,144,Box Score,,21509,
Sat Apr 2 2022,1:00p,Cleveland Cavaliers,119,New York Knicks,101,Box Score,,19812,
Sat Apr 2 2022,7:30p,Brooklyn Nets,115,Atlanta Hawks,122,Box Score,,18126,
Sat Apr 2 2022,8:00p,Miami Heat,127,Chicago Bulls,109,Box Score,,21697,
Sat Apr 2 2022,8:30p,Utah Jazz,107,Golden State Warriors,111,Box Score,,18064,
Sun Apr 3 2022,1:00p,Washington Wizards,102,Boston Celtics,144,Box Score,,19156,
Sun Apr 3 2022,1:00p,Dallas Mavericks,118,Milwaukee Bucks,112,Box Score,,17902,
Sun Apr 3 2022,3:30p,Denver Nuggets,129,Los Angeles Lakers,118,Box Score,,18997,
Sun Apr 3 2022,5:00p,Detroit Pistons,121,Indiana Pacers,117,Box Score,,17407,
Sun Apr 3 2022,6:00p,Philadelphia 76ers,112,Cleveland Cavaliers,108,Box Score,,19432,
Sun Apr 3 2022,6:00p,New York Knicks,118,Orlando Magic,88,Box Score,,15747,
Sun Apr 3 2022,7:00p,Minnesota Timberwolves,139,Houston Rockets,132,Box Score,,16539,
Sun Apr 3 2022,7:00p,Phoenix Suns,96,Oklahoma City Thunder,117,Box Score,,17078,
Sun Apr 3 2022,7:00p,Portland Trail Blazers,92,San Antonio Spurs,113,Box Score,,15816,
Sun Apr 3 2022,7:00p,Miami Heat,114,Toronto Raptors,109,Box Score,,19800,
Sun Apr 3 2022,9:00p,Golden State Warriors,109,Sacramento Kings,90,Box Score,,17583,
Sun Apr 3 2022,9:30p,New Orleans Pelicans,100,Los Angeles Clippers,119,Box Score,,16840,
Tue Apr 5 2022,7:00p,Philadelphia 76ers,131,Indiana Pacers,122,Box Score,,15583,
Tue Apr 5 2022,7:00p,Cleveland Cavaliers,115,Orlando Magic,120,Box Score,,16897,
Tue Apr 5 2022,7:30p,Houston Rockets,105,Brooklyn Nets,118,Box Score,,17768,
Tue Apr 5 2022,7:30p,Charlotte Hornets,115,Miami Heat,144,Box Score,,19600,
Tue Apr 5 2022,7:30p,Atlanta Hawks,108,Toronto Raptors,118,Box Score,,19800,
Tue Apr 5 2022,8:00p,Milwaukee Bucks,127,Chicago Bulls,106,Box Score,,20799,
Tue Apr 5 2022,8:00p,Washington Wizards,132,Minnesota Timberwolves,114,Box Score,,17136,
Tue Apr 5 2022,8:00p,Portland Trail Blazers,94,Oklahoma City Thunder,98,Box Score,,14674,
Tue Apr 5 2022,9:00p,San Antonio Spurs,116,Denver Nuggets,97,Box Score,,17037,
Tue Apr 5 2022,9:00p,Memphis Grizzlies,115,Utah Jazz,121,Box Score,OT,18306,
Tue Apr 5 2022,10:00p,New Orleans Pelicans,123,Sacramento Kings,109,Box Score,,16047,
Tue Apr 5 2022,10:30p,Los Angeles Lakers,110,Phoenix Suns,121,Box Score,,17071,
Wed Apr 6 2022,7:00p,Dallas Mavericks,131,Detroit Pistons,113,Box Score,,18422,
Wed Apr 6 2022,7:30p,Brooklyn Nets,110,New York Knicks,98,Box Score,,19812,
Wed Apr 6 2022,8:00p,Washington Wizards,103,Atlanta Hawks,118,Box Score,,17381,
Wed Apr 6 2022,8:00p,Boston Celtics,117,Chicago Bulls,94,Box Score,,21095,
Wed Apr 6 2022,9:00p,Oklahoma City Thunder,101,Utah Jazz,137,Box Score,,18306,
Wed Apr 6 2022,10:00p,Phoenix Suns,109,Los Angeles Clippers,113,Box Score,,19068,
Thu Apr 7 2022,7:00p,Orlando Magic,101,Charlotte Hornets,128,Box Score,,16427,
Thu Apr 7 2022,7:30p,Boston Celtics,121,Milwaukee Bucks,127,Box Score,,18046,
Thu Apr 7 2022,7:30p,Philadelphia 76ers,114,Toronto Raptors,119,Box Score,,19800,
Thu Apr 7 2022,8:00p,San Antonio Spurs,121,Minnesota Timberwolves,127,Box Score,,17136,
Thu Apr 7 2022,8:00p,Portland Trail Blazers,94,New Orleans Pelicans,127,Box Score,,12432,
Thu Apr 7 2022,9:00p,Memphis Grizzlies,109,Denver Nuggets,122,Box Score,,19520,
