Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Dec 1 2021,7:00p,Atlanta Hawks,114,Indiana Pacers,111,Box Score,,12656,
Wed Dec 1 2021,7:00p,Denver Nuggets,103,Orlando Magic,108,Box Score,,14191,
Wed Dec 1 2021,7:00p,Minnesota Timberwolves,107,Washington Wizards,115,Box Score,,15318,
Wed Dec 1 2021,7:30p,Philadelphia 76ers,87,Boston Celtics,88,Box Score,,19156,
Wed Dec 1 2021,7:30p,Cleveland Cavaliers,111,Miami Heat,85,Box Score,,19600,
Wed Dec 1 2021,8:00p,Charlotte Hornets,125,Milwaukee Bucks,127,Box Score,,17341,
Wed Dec 1 2021,8:00p,Dallas Mavericks,139,New Orleans Pelicans,107,Box Score,,15558,
Wed Dec 1 2021,8:00p,Houston Rockets,114,Oklahoma City Thunder,110,Box Score,,13222,
Wed Dec 1 2021,10:30p,Sacramento Kings,124,Los Angeles Clippers,115,Box Score,,17217,
Thu Dec 2 2021,7:30p,Chicago Bulls,119,New York Knicks,115,Box Score,,19812,
Thu Dec 2 2021,7:30p,Milwaukee Bucks,93,Toronto Raptors,97,Box Score,,19800,
Thu Dec 2 2021,8:00p,Oklahoma City Thunder,79,Memphis Grizzlies,152,Box Score,,13103,
Thu Dec 2 2021,9:00p,Detroit Pistons,103,Phoenix Suns,114,Box Score,,0,
Thu Dec 2 2021,10:00p,San Antonio Spurs,114,Portland Trail Blazers,83,Box Score,,16143,
Fri Dec 3 2021,7:00p,Miami Heat,113,Indiana Pacers,104,Box Score,,13854,
Fri Dec 3 2021,7:00p,Cleveland Cavaliers,116,Washington Wizards,101,Box Score,,17227,
Fri Dec 3 2021,7:30p,Philadelphia 76ers,98,Atlanta Hawks,96,Box Score,,17092,
Fri Dec 3 2021,7:30p,Minnesota Timberwolves,105,Brooklyn Nets,110,Box Score,,17732,
Fri Dec 3 2021,8:00p,Orlando Magic,116,Houston Rockets,118,Box Score,,13697,
Fri Dec 3 2021,8:30p,New Orleans Pelicans,107,Dallas Mavericks,91,Box Score,,19218,
Fri Dec 3 2021,9:00p,Boston Celtics,130,Utah Jazz,137,Box Score,,18306,
Fri Dec 3 2021,10:00p,Phoenix Suns,96,Golden State Warriors,118,Box Score,,18064,
Fri Dec 3 2021,10:00p,Los Angeles Clippers,119,Los Angeles Lakers,115,Box Score,,18997,
Sat Dec 4 2021,1:00p,Denver Nuggets,113,New York Knicks,99,Box Score,,18272,
Sat Dec 4 2021,8:00p,Chicago Bulls,111,Brooklyn Nets,107,Box Score,,18116,
Sat Dec 4 2021,8:00p,Miami Heat,102,Milwaukee Bucks,124,Box Score,,17341,
Sat Dec 4 2021,8:30p,Memphis Grizzlies,97,Dallas Mavericks,90,Box Score,,19396,
Sat Dec 4 2021,8:30p,San Antonio Spurs,112,Golden State Warriors,107,Box Score,,18064,
Sat Dec 4 2021,10:00p,Boston Celtics,145,Portland Trail Blazers,117,Box Score,,18193,
Sat Dec 4 2021,10:00p,Los Angeles Clippers,99,Sacramento Kings,104,Box Score,,15004,
Sun Dec 5 2021,3:30p,Utah Jazz,109,Cleveland Cavaliers,108,Box Score,,18113,
Sun Dec 5 2021,6:00p,Charlotte Hornets,130,Atlanta Hawks,127,Box Score,,16383,
Sun Dec 5 2021,6:00p,Washington Wizards,90,Toronto Raptors,102,Box Score,,19800,
Sun Dec 5 2021,7:00p,New Orleans Pelicans,108,Houston Rockets,118,Box Score,,14771,
Mon Dec 6 2021,7:00p,Philadelphia 76ers,127,Charlotte Hornets,124,Box Score,OT,14462,
Mon Dec 6 2021,7:00p,Oklahoma City Thunder,114,Detroit Pistons,103,Box Score,,10522,
Mon Dec 6 2021,7:00p,Washington Wizards,110,Indiana Pacers,116,Box Score,,12581,
Mon Dec 6 2021,7:30p,Memphis Grizzlies,105,Miami Heat,90,Box Score,,19600,
Mon Dec 6 2021,8:00p,Denver Nuggets,97,Chicago Bulls,109,Box Score,,21236,
Mon Dec 6 2021,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,112,Box Score,,17341,
Mon Dec 6 2021,8:00p,Atlanta Hawks,121,Minnesota Timberwolves,110,Box Score,,15736,
Mon Dec 6 2021,9:00p,San Antonio Spurs,104,Phoenix Suns,108,Box Score,,15292,
Mon Dec 6 2021,10:00p,Orlando Magic,95,Golden State Warriors,126,Box Score,,18064,
Mon Dec 6 2021,10:00p,Los Angeles Clippers,102,Portland Trail Blazers,90,Box Score,,15865,
Tue Dec 7 2021,7:30p,Brooklyn Nets,102,Dallas Mavericks,99,Box Score,,19559,
Tue Dec 7 2021,8:30p,New York Knicks,121,San Antonio Spurs,109,Box Score,,14698,
Tue Dec 7 2021,10:00p,Boston Celtics,102,Los Angeles Lakers,117,Box Score,,18997,
Wed Dec 8 2021,7:00p,Philadelphia 76ers,110,Charlotte Hornets,106,Box Score,,15709,
Wed Dec 8 2021,7:00p,Chicago Bulls,92,Cleveland Cavaliers,115,Box Score,,17707,
Wed Dec 8 2021,7:00p,Washington Wizards,119,Detroit Pistons,116,Box Score,OT,10499,
Wed Dec 8 2021,7:00p,New York Knicks,102,Indiana Pacers,122,Box Score,,13167,
Wed Dec 8 2021,7:30p,Milwaukee Bucks,104,Miami Heat,113,Box Score,,19600,
Wed Dec 8 2021,7:30p,Oklahoma City Thunder,110,Toronto Raptors,109,Box Score,,19800,
Wed Dec 8 2021,8:00p,Brooklyn Nets,104,Houston Rockets,114,Box Score,,15834,
Wed Dec 8 2021,8:00p,Dallas Mavericks,104,Memphis Grizzlies,96,Box Score,,14025,
Wed Dec 8 2021,8:00p,Utah Jazz,136,Minnesota Timberwolves,104,Box Score,,15181,
Wed Dec 8 2021,8:00p,Denver Nuggets,120,New Orleans Pelicans,114,Box Score,OT,15035,
Wed Dec 8 2021,10:00p,Portland Trail Blazers,94,Golden State Warriors,104,Box Score,,18064,
Wed Dec 8 2021,10:00p,Orlando Magic,130,Sacramento Kings,142,Box Score,,14364,
Wed Dec 8 2021,10:30p,Boston Celtics,111,Los Angeles Clippers,114,Box Score,,17064,
Thu Dec 9 2021,7:00p,Utah Jazz,118,Philadelphia 76ers,96,Box Score,,20272,
Thu Dec 9 2021,8:00p,Los Angeles Lakers,95,Memphis Grizzlies,108,Box Score,,16334,
Thu Dec 9 2021,8:30p,Denver Nuggets,111,San Antonio Spurs,123,Box Score,,12855,
Fri Dec 10 2021,7:00p,Sacramento Kings,123,Charlotte Hornets,124,Box Score,,16335,
Fri Dec 10 2021,7:00p,Dallas Mavericks,93,Indiana Pacers,106,Box Score,,12618,
Fri Dec 10 2021,7:30p,Brooklyn Nets,113,Atlanta Hawks,105,Box Score,,17074,
Fri Dec 10 2021,7:30p,New York Knicks,87,Toronto Raptors,90,Box Score,,19800,
